preprocessing_variant,K,mean_metric,std_metric
VariantA_mean_minmax,3,0.9593126814449586,0.00950718696445922
VariantA_mean_minmax,5,0.8499650879285277,0.023441670050035678
VariantA_mean_minmax,7,0.842427165276546,0.0232746189343443
VariantA_mean_minmax,9,0.8737347379287691,0.025420123313299063
VariantA_mean_minmax,11,0.8650420934886155,0.02866582005175979
VariantA_mean_minmax,13,0.8543934569053327,0.024969939585065132
VariantA_mean_minmax,15,0.8471911062494479,0.02260725822297534
VariantB_median_standard,3,0.9502829639334955,0.01054881441945332
VariantB_median_standard,5,0.8580672278774832,0.015325903205961368
VariantB_median_standard,7,0.8427838443041994,0.019772469535149256
VariantB_median_standard,9,0.853559634961503,0.012040531191697514
VariantB_median_standard,11,0.855619208921591,0.014067050619953956
VariantB_median_standard,13,0.8455687377834813,0.006881424477601762
VariantB_median_standard,15,0.8458125972290876,0.018674034672487173
