preprocessing_variant,K,fold,metric_value
VariantA_mean_minmax,3,1,0.9607843137254902
VariantA_mean_minmax,3,2,0.9658536585365853
VariantA_mean_minmax,3,3,0.9705882352941176
VariantA_mean_minmax,3,4,0.9509803921568627
VariantA_mean_minmax,3,5,0.9483568075117371
VariantA_mean_minmax,5,1,0.8743718592964824
VariantA_mean_minmax,5,2,0.848780487804878
VariantA_mean_minmax,5,3,0.8446601941747572
VariantA_mean_minmax,5,4,0.8144329896907216
VariantA_mean_minmax,5,5,0.867579908675799
VariantA_mean_minmax,7,1,0.8530805687203792
VariantA_mean_minmax,7,2,0.8252427184466019
VariantA_mean_minmax,7,3,0.8516746411483254
VariantA_mean_minmax,7,4,0.8121827411167513
VariantA_mean_minmax,7,5,0.8699551569506726
VariantA_mean_minmax,9,1,0.875
VariantA_mean_minmax,9,2,0.8815165876777251
VariantA_mean_minmax,9,3,0.9004739336492891
VariantA_mean_minmax,9,4,0.8316831683168316
VariantA_mean_minmax,9,5,0.88
VariantA_mean_minmax,11,1,0.8653846153846154
VariantA_mean_minmax,11,2,0.8691588785046729
VariantA_mean_minmax,11,3,0.8940092165898618
VariantA_mean_minmax,11,4,0.8177339901477833
VariantA_mean_minmax,11,5,0.8789237668161435
VariantA_mean_minmax,13,1,0.8421052631578947
VariantA_mean_minmax,13,2,0.8679245283018868
VariantA_mean_minmax,13,3,0.8623853211009175
VariantA_mean_minmax,13,4,0.8177339901477833
VariantA_mean_minmax,13,5,0.8818181818181818
VariantA_mean_minmax,15,1,0.8436018957345972
VariantA_mean_minmax,15,2,0.847926267281106
VariantA_mean_minmax,15,3,0.8715596330275229
VariantA_mean_minmax,15,4,0.8118811881188119
VariantA_mean_minmax,15,5,0.8609865470852018
VariantB_median_standard,3,1,0.9423076923076923
VariantB_median_standard,3,2,0.9532710280373832
VariantB_median_standard,3,3,0.957345971563981
VariantB_median_standard,3,4,0.9619047619047619
VariantB_median_standard,3,5,0.9365853658536586
VariantB_median_standard,5,1,0.8837209302325582
VariantB_median_standard,5,2,0.8598130841121495
VariantB_median_standard,5,3,0.8504672897196262
VariantB_median_standard,5,4,0.8446601941747572
VariantB_median_standard,5,5,0.8516746411483254
VariantB_median_standard,7,1,0.8584474885844748
VariantB_median_standard,7,2,0.8090909090909091
VariantB_median_standard,7,3,0.8558558558558559
VariantB_median_standard,7,4,0.8450704225352113
VariantB_median_standard,7,5,0.8454545454545455
VariantB_median_standard,9,1,0.8679245283018868
VariantB_median_standard,9,2,0.852017937219731
VariantB_median_standard,9,3,0.8636363636363636
VariantB_median_standard,9,4,0.8440366972477065
VariantB_median_standard,9,5,0.8401826484018264
VariantB_median_standard,11,1,0.8584905660377359
VariantB_median_standard,11,2,0.8558139534883721
VariantB_median_standard,11,3,0.8755760368663594
VariantB_median_standard,11,4,0.8518518518518519
VariantB_median_standard,11,5,0.8363636363636363
VariantB_median_standard,13,1,0.8490566037735849
VariantB_median_standard,13,2,0.8425925925925926
VariantB_median_standard,13,3,0.8387096774193549
VariantB_median_standard,13,4,0.8558558558558559
VariantB_median_standard,13,5,0.8416289592760181
VariantB_median_standard,15,1,0.8301886792452831
VariantB_median_standard,15,2,0.832579185520362
VariantB_median_standard,15,3,0.8340807174887892
VariantB_median_standard,15,4,0.8634361233480177
VariantB_median_standard,15,5,0.8687782805429864
